localidad,latitud,longitud
usaquen,4.6720872,-74.0168086
usaquen,4.6719356,-74.0167492
usaquen,4.6716449,-74.0166353
usaquen,4.671201,-74.0164674
usaquen,4.6708535,-74.0163386
usaquen,4.6706892,-74.0162645
usaquen,4.6705229,-74.0159613
usaquen,4.6703994,-74.0156427
usaquen,4.6700659,-74.0144515
usaquen,4.6699614,-74.0142322
usaquen,4.6690079,-74.0129542
usaquen,4.6688757,-74.0127957
usaquen,4.6684126,-74.0126024
usaquen,4.668012,-74.0126381
usaquen,4.6679441,-74.0126442
usaquen,4.6677254,-74.0126637
usaquen,4.6674109,-74.0129399
usaquen,4.6669814,-74.0136686
usaquen,4.6664668,-74.0140181
usaquen,4.6662615,-74.0138923
usaquen,4.6663259,-74.013196
usaquen,4.6664484,-74.0125692
usaquen,4.6664131,-74.0123569
usaquen,4.6663614,-74.0120467
usaquen,4.6661407,-74.0116674
usaquen,4.6660707,-74.011573
usaquen,4.6655565,-74.0112293
usaquen,4.6644458,-74.0108385
usaquen,4.6638578,-74.0106069
usaquen,4.6634746,-74.0104518
usaquen,4.6633365,-74.0103885
usaquen,4.663172,-74.0103219
usaquen,4.6628134,-74.0101987
usaquen,4.6626903,-74.0101367
usaquen,4.6625389,-74.0100334
usaquen,4.6623828,-74.0099097
usaquen,4.6622122,-74.0097474
usaquen,4.6619934,-74.0095289
usaquen,4.6618821,-74.0093901
usaquen,4.6617945,-74.0092599
usaquen,4.6617195,-74.0091203
usaquen,4.6616721,-74.0089834
usaquen,4.6616373,-74.0088465
usaquen,4.6616641,-74.0088013
usaquen,4.6617523,-74.0085492
usaquen,4.6618485,-74.0084419
usaquen,4.6619234,-74.0085411
usaquen,4.6620624,-74.0090454
usaquen,4.6625062,-74.0098018
usaquen,4.6634311,-74.0102148
usaquen,4.6634899,-74.009968
usaquen,4.6637947,-74.0101183
usaquen,4.6639711,-74.0096355
usaquen,4.6640516,-74.0092645
usaquen,4.6641518,-74.0090846
usaquen,4.6644898,-74.0070284
usaquen,4.6654511,-74.0068978
usaquen,4.6661621,-74.0067851
usaquen,4.6669305,-74.0067923
usaquen,4.6681138,-74.0056221
usaquen,4.6690494,-74.0046987
usaquen,4.6702418,-74.0042472
usaquen,4.6714609,-74.0037408
usaquen,4.6729419,-74.0030319
usaquen,4.6744658,-74.0026267
usaquen,4.6754717,-74.0025115
usaquen,4.6764656,-74.0024395
usaquen,4.6776849,-74.0030555
usaquen,4.6786155,-74.0023184
usaquen,4.6792891,-74.0018785
usaquen,4.6800163,-74.0020824
usaquen,4.6804438,-74.0038333
usaquen,4.6811818,-74.0044394
usaquen,4.682262,-74.0054291
usaquen,4.6828927,-74.0053654
usaquen,4.6832349,-74.004786
usaquen,4.683802,-74.0055758
usaquen,4.6841759,-74.0062773
usaquen,4.6841973,-74.0071249
usaquen,4.6850634,-74.0074897
usaquen,4.6855507,-74.008234
usaquen,4.6860375,-74.009803
usaquen,4.6862462,-74.0102032
usaquen,4.6874226,-74.0104162
usaquen,4.6891374,-74.0112984
usaquen,4.6908716,-74.0116484
usaquen,4.6928233,-74.0119922
usaquen,4.6943128,-74.0122748
usaquen,4.6955288,-74.012609
usaquen,4.6959139,-74.013195
usaquen,4.6971921,-74.0142195
usaquen,4.6987181,-74.0142954
usaquen,4.699224,-74.0143206
usaquen,4.7006463,-74.0137129
usaquen,4.701967,-74.013004
usaquen,4.7030845,-74.0127001
usaquen,4.7045336,-74.0120843
usaquen,4.7052194,-74.0119314
usaquen,4.7061965,-74.0117429
usaquen,4.7070627,-74.0115034
usaquen,4.7084903,-74.0114389
usaquen,4.7094751,-74.0116739
usaquen,4.7101059,-74.0126717
usaquen,4.7105221,-74.0116881
usaquen,4.7106726,-74.0101934
usaquen,4.7118589,-74.010383
usaquen,4.7129765,-74.010352
usaquen,4.7127895,-74.0236261
usaquen,4.7134081,-74.0233958
